*	name	The 2500 most common chinese characters
以	"汉字: 以
拼音: yi3
英文: to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
五笔:c.nyw.nywy
F(x):23"	tts_以.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
说	"汉字: 说
拼音: shui4/shuo1
英文: persuade (politically), to speak/to say
五笔:yu.yuk.yukq
F(x):24"	tts_说.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
时	"汉字: 时
拼音: shi2
英文: o'clock/time/when/hour/season/period
五笔:jf.jfy
F(x):25"	tts_时.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
要	"汉字: 要
拼音: yao1/yao4
英文: demand/ask/request/coerce, important/vital/to want/to be going to/must
五笔:s.sv.svf
F(x):26"	tts_要.mp3		2,0,11,11,12,13,4320,2015-11-21 21:52,2016-11-21 21:52	
就	"汉字: 就
拼音: jiu4
英文: at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
五笔:yi.yidn
F(x):27"	tts_就.mp3		2,0,14,13,12,13,4320,2016-03-29 21:16,2017-02-07 20:16	
出	"汉字: 出
拼音: chu1
英文: to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)
五笔:bm.bmk
F(x):28"	tts_出.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
会	"汉字: 会
拼音: hui4/kuai4
英文: can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting
五笔:wf.wfc.wfcu
F(x):29"	tts_会.mp3		2,0,10,10,12,13,4320,2015-12-12 22:22,2016-12-09 22:22	
可	"汉字: 可
拼音: ke3
英文: can/may/able to/certain(ly)/to suit/(particle used for emphasis)
五笔:sk.skd
F(x):30"	tts_可.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
也	"汉字: 也
拼音: ye3
英文: also/too
五笔:bn.bnhn
F(x):31"	tts_也.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
你	"汉字: 你
拼音: ni3
英文: you
五笔:wq.wqi.wqiy
F(x):32"	tts_你.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
对	"汉字: 对
拼音: dui4
英文: couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right
五笔:cf.cfy
F(x):33"	tts_对.mp3		2,0,21,18,8,9,4320,2016-03-01 21:14,2017-01-19 21:14	
生	"汉字: 生
拼音: sheng1
英文: to be born/to give birth/life/to grow
五笔:tg.tgd
F(x):34"	tts_生.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
能	"汉字: 能
拼音: neng2
英文: can/may/capable/energy/able
五笔:ce.cex.cexx
F(x):35"	tts_能.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
而	"汉字: 而
拼音: er2
英文: and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
五笔:dmj.dmjj
F(x):36"	tts_而.mp3		2,0,12,11,10,11,4320,2015-09-19 21:10,2016-10-02 21:10	
子	"汉字: 子
拼音: zi3/zi
英文: 11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)
五笔:bb.bbb.bbbb
F(x):37"	tts_子.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
那	"汉字: 那
拼音: na3/na4/nei4
英文: how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)
五笔:vfb.vfbh
F(x):38"	tts_那.mp3		2,0,11,11,11,12,4320,2016-01-23 21:23,2016-12-31 21:23	
得	"汉字: 得
拼音: de2/de/dei3
英文: obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to
五笔:tj.tjgf
F(x):39"	tts_得.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
于	"汉字: 于
拼音: yu2
英文: (surname), in/at/to/from/by/than/out of
五笔:gf.gfk
F(x):40"	tts_于.mp3		2,0,20,17,10,11,4320,2015-12-08 20:42,2016-12-05 20:42	
着	"汉字: 着
拼音: zhao1/zhao2/zhe/zhu4/zhuo2
英文: catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/pa"	tts_着.mp3		2,0,22,18,9,10,4320,2015-11-21 21:50,2016-11-21 21:50	
下	"汉字: 下
拼音: xia4
英文: under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter
五笔:gh.ghi
F(x):42"	tts_下.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
自	"汉字: 自
拼音: zi4
英文: from/self/oneself/since
五笔:thd
F(x):43"	tts_自.mp3		2,0,10,10,12,13,4320,2016-03-31 19:31,2017-02-09 18:31	
之	"汉字: 之
拼音: zhi1
英文: (literary equivalent of 的)/(subor. part.)/him/her/it
五笔:pp.ppp.pppp
F(x):44"	tts_之.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
年	"汉字: 年
拼音: nian2
英文: year
五笔:rh.rhfk
F(x):45"	tts_年.mp3		3,0,1,1,1,2,0,2013-12-10 11:09,1969-12-31 19:00	
